metric,Today,last time,the time before,and before that
Map,,,,
Locations,1639,1637,1518,1469
Services,2809,2806,2652,2569
Services at open locations,2718,2716,2566,2484
Open services,2694,2692,2494,2410
,,,,
Updates in the last 28 days,,,,
Unique locations,1,443,194,95
Unique services,2,482,206,103
